2020-03-01 22:25:34 | ERROR | httpbin_vaildator.py:60 | sdlfkj
2020-04-01 22:45:33 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='58.218.214.151', port=8708): Max retries exceeded with url: http://httpbin.org/get (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
2020-04-01 22:45:33 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2020-04-03 20:24:15 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='103.81.104.141', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001A75C555588>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
2020-04-03 20:24:25 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x000001A75C555CF8>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
2020-04-03 20:24:27 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='59.62.27.130', port=9000): Max retries exceeded with url: http://httpbin.org/get (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001A75C571630>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2020-04-03 20:24:28 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x000001A75C555DA0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2020-04-03 20:24:30 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='202.109.157.60', port=9000): Max retries exceeded with url: http://httpbin.org/get (Caused by ProxyError('Cannot connect to proxy.', ConnectionAbortedError(10053, '你的主机中的软件中止了一个已建立的连接。', None, 10053, None)))
2020-04-03 20:24:30 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2020-04-03 20:37:07 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='103.81.104.141', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000208379DE828>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
2020-04-03 20:37:17 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x00000208379DEEF0>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
